σθ,σc,σt,SCF,B1,B2,Wet,MR
110.62079999999999,160.32,9.687009063444108,0.69,16.55,0.8860398860398859,5.72,3
40.992,97.6,6.2604233483001925,0.42,15.59,0.8794454490657022,3.2,1
58.116,100.2,3.3266932270916336,0.58,30.12,0.93573264781491,4.5,3
23.3904,106.32,2.919275123558484,0.22,36.42,0.9465526456440407,1.75,0
81.7505,125.77,12.13996138996139,0.65,10.36,0.823943661971831,5.75,2
90.985,146.75,7.583979328165374,0.62,19.35,0.9017199017199016,4.5,2
61.4175,107.75,3.453525641025641,0.57,31.2,0.9378881987577641,3.15,1
104.4875,160.75,13.005663430420713,0.65,12.36,0.8502994011976046,5.41,3
86.56479999999999,146.72,7.825066666666666,0.59,18.75,0.89873417721519,4.2,2
118.77099999999999,162.7,5.4781144781144775,0.73,29.7,0.9348534201954396,3.82,2
35.335,95.5,2.2576832151300237,0.37,42.3,0.9538106235565819,2.75,0
39.109,105.7,2.8299866131191433,0.37,37.35,0.9478487614080834,3.08,1
89.56,190.55319148936172,17.151502384280985,0.47,11.11,0.8348472336911644,3.97,2
89.56,168.9811320754717,11.97598384659615,0.53,14.11,0.8676373262739909,5.76,2
89.56,186.58333333333334,19.11714480874317,0.48,9.76,0.8141263940520446,7.27,2
56.1,130.46511627906978,9.33226868948997,0.43,13.98,0.8664886515353805,7.44,2
54.2,135.5,9.192672998643149,0.4,14.74,0.8729351969504446,7.08,2
70.3,127.8181818181818,8.683300395256916,0.55,14.72,0.8727735368956743,6.43,2
48.75,180.55555555555554,8.324368628656318,0.27,21.69,0.9118554429263993,5.0,2
62.5,173.61111111111111,7.191843873699715,0.36,24.14,0.9204455051710421,5.0,2
75.0,178.57142857142858,8.232892050319437,0.42,21.69,0.9118554429263993,5.0,2
57.0,178.125,8.212309820193637,0.32,21.69,0.9118554429263993,5.0,2
89.0,234.21052631578948,8.238147249939834,0.38,28.43,0.9320421338769963,5.0,2
50.0,131.57894736842104,6.071940349258008,0.38,21.67,0.9117776797529775,5.0,2
108.0,140.25974025974025,8.014842300556586,0.77,17.5,0.891891891891892,5.5,3
18.8,170.9090909090909,5.472593368846971,0.11,31.23,0.9379460130313374,7.4,0
11.0,110.0,4.782608695652174,0.1,23.0,0.9166666666666667,5.7,0
55.4,178.70967741935485,7.41226368392181,0.31,24.11,0.9203504579848665,9.3,2
48.0,120.0,1.5,0.4,80.0,0.9753086419753086,5.8,2
63.0,114.54545454545453,1.4940061894542132,0.55,76.67,0.9742500321874598,5.7,2
49.5,110.0,1.5000681849174964,0.45,73.33,0.9730929638100363,5.7,2
30.9,83.51351351351352,6.575867205788466,0.37,12.7,0.8540145985401459,3.2,1
89.0,128.9855072463768,13.242865220367229,0.69,9.74,0.8137802607076349,4.9,3
12.3,246.0,18.317200297840657,0.05,13.43,0.8613998613998614,6.9,0
55.6,252.72727272727272,18.623969987271387,0.22,13.57,0.8627316403568976,9.1,2
91.3,228.24999999999997,17.397103658536583,0.4,13.12,0.858356940509915,7.3,3
61.0,169.44444444444446,22.32469623773972,0.36,7.59,0.7671711292200233,7.5,1
34.15,54.2063492063492,12.099631519274375,0.63,4.48,0.6350364963503649,3.17,1
108.4,138.97435897435898,7.733687199463494,0.78,17.97,0.8945703742751712,1.9,3
69.8,199.42857142857144,22.559793148028444,0.35,8.84,0.7967479674796749,4.68,1
